# Generated by mapping/generate_sim_positions.py --seed 1 from generated_pos_config.hpp.
# 233 mapped, 767 synthetic. Angles in degrees CCW from +x.
index,z_mm,radius_mm,angle_deg,source
752,1265,172,250,mapped
753,990.2,336.7,328.26,synthetic
754,1213,283,246,mapped
755,1135.0,150.4,299.71,synthetic
756,1173,284,258,mapped
757,1220,377,274,mapped
758,1220,376,274,mapped
759,1243,358,278,mapped
760,1248,295,282,mapped
761,1194,156,217,mapped
762,1165,197,285,mapped
763,1221,220,291,mapped
764,1286,203,324,mapped
765,884.3,374.0,311.77,synthetic
766,1228,195,278,mapped
767,1147.5,338.4,127.77,synthetic
768,1083,237,305,mapped
769,1884.2,280.4,31.5,synthetic
770,1023,331,305,mapped
771,1178,274,335,mapped
772,1160,303,327,mapped
773,1160,305,327,mapped
774,1226.8,350.7,347.34,synthetic
775,549.9,407.8,201.77,synthetic
776,1114.2,359.3,241.26,synthetic
777,1280,198,0,mapped
778,1217,336,7,mapped
779,1217,336,7,mapped
780,154.0,299.3,96.7,synthetic
781,1826.3,281.1,349.58,synthetic
782,1283.2,295.2,268.26,synthetic
783,997.2,496.3,210.66,synthetic
784,600.3,397.4,348.14,synthetic
785,1686.9,114.9,246.69,synthetic
786,1241.5,259.3,6.16,synthetic
787,602.7,490.1,295.69,synthetic
788,446.6,229.1,284.24,synthetic
789,1041.9,264.0,49.87,synthetic
790,1392.7,313.9,160.47,synthetic
791,1411.9,332.8,117.27,synthetic
792,1152.0,346.9,277.07,synthetic
793,1462.1,322.5,282.61,synthetic
794,784.0,275.5,248.93,synthetic
795,1220.5,326.1,35.24,synthetic
796,789.6,384.6,334.04,synthetic
797,1138.4,105.3,179.41,synthetic
798,729.3,325.4,20.0,synthetic
799,377.0,227.1,42.23,synthetic
800,1185.3,197.7,54.07,synthetic
801,1871.9,209.6,181.33,synthetic
802,1916.6,253.0,48.49,synthetic
803,1366.2,321.5,25.04,synthetic
804,1374,289,178,mapped
805,1438,294,202,mapped
806,1309.0,242.4,219.93,synthetic
807,875.9,266.9,151.89,synthetic
808,1712.9,318.7,12.26,synthetic
809,1304,268,223,mapped
810,1428,279,217,mapped
811,1343,321,243,mapped
812,1316,314,238,mapped
813,1322,283,241,mapped
814,1201.2,303.2,272.67,synthetic
815,1387,266,240,mapped
816,1361,273,242,mapped
817,1360,275,243,mapped
818,1608.4,261.9,53.36,synthetic
819,653.0,413.0,82.61,synthetic
820,1423,191,266,mapped
821,1363,291,278,mapped
822,1335,291,277,mapped
823,1346,295,282,mapped
824,1398,376,287,mapped
825,1274,310,265,mapped
826,-120,464.8,78.35,synthetic
827,905.2,265.4,320.9,synthetic
828,1237,264,302,mapped
829,1237,265,302,mapped
830,1237,264,302,mapped
831,1287,190,281,mapped
832,1287,190,281,mapped
833,1287,189,281,mapped
834,1426.7,305.0,323.48,synthetic
835,1298,381,349,mapped
836,1351,213,329,mapped
837,1264,328,342,mapped
838,1254,258,334,mapped
839,1294,163,316,mapped
840,1319,416,347,mapped
841,1612.2,253.2,169.98,synthetic
842,823.5,595.1,323.35,synthetic
843,1505.0,125.5,229.18,synthetic
844,1451.1,210.3,311.4,synthetic
845,559.4,175.6,177.56,synthetic
846,1537,281,351,mapped
847,444.4,358.0,185.77,synthetic
848,312.8,337.5,177.0,synthetic
849,449.8,216.9,214.11,synthetic
850,1926.8,236.5,144.12,synthetic
851,866.9,212.4,312.76,synthetic
852,957.8,186.5,105.29,synthetic
853,1338.7,299.6,172.36,synthetic
854,980.4,195.2,298.76,synthetic
855,242.0,414.5,193.64,synthetic
856,905.8,461.1,324.75,synthetic
857,-120,169.7,133.47,synthetic
858,771.2,556.9,102.27,synthetic
859,1748.8,417.5,172.42,synthetic
860,1581.6,318.3,275.81,synthetic
861,922.0,318.3,10.13,synthetic
862,1673.8,376.1,216.26,synthetic
863,531.8,462.1,219.89,synthetic
864,965.8,395.6,24.61,synthetic
865,1694.3,208.3,193.48,synthetic
866,1349.4,278.6,117.68,synthetic
867,1557,261,236,mapped
868,1556,267,200,mapped
869,1623.1,349.5,89.97,synthetic
870,1435.2,251.1,89.39,synthetic
871,1548.5,298.4,299.32,synthetic
872,1541,118,221,mapped
873,807.6,387.4,211.61,synthetic
874,1477,322,201,mapped
875,1425,310,202,mapped
876,1455,289,204,mapped
877,1497,301,223,mapped
878,1509,296,226,mapped
879,1433,288,222,mapped
880,1176.9,413.6,53.12,synthetic
881,597.4,416.7,30.42,synthetic
882,1062.6,303.8,329.13,synthetic
883,1765.4,287.5,26.65,synthetic
884,1534,358,301,mapped
885,1492,290,265,mapped
886,1415,326,253,mapped
887,1451,340,281,mapped
888,1436,266,258,mapped
889,1436,266,258,mapped
890,1435,267,258,mapped
891,1032.6,254.2,77.76,synthetic
892,1563.5,240.4,322.74,synthetic
893,1490,316,325,mapped
894,1462,319,324,mapped
895,1474,246,317,mapped
896,1580.1,260.9,285.87,synthetic
897,1274.9,114.1,24.68,synthetic
898,1697.7,300.2,200.21,synthetic
899,1512,115,263,mapped
900,338.5,284.4,60.34,synthetic
901,962.1,348.9,77.1,synthetic
902,1665,175,288,mapped
903,1350.2,258.0,110.89,synthetic
904,1081.2,290.3,225.67,synthetic
905,1749.6,298.4,15.26,synthetic
906,1583,314,271,mapped
907,357.6,294.5,242.28,synthetic
908,1564,260,269,mapped
909,1643,212,279,mapped
910,1680,81,315,mapped
911,602.9,142.5,70.08,synthetic
912,1616,245,252,mapped
913,1998,305.6,350.67,synthetic
914,1050.8,575.1,10.36,synthetic
915,700.9,105.0,329.94,synthetic
916,1590,303,237,mapped
917,1586,272,242,mapped
918,1581,298,233,mapped
919,564.7,161.4,5.75,synthetic
920,286.4,345.8,93.95,synthetic
921,1191.1,179.9,100.7,synthetic
922,837.0,395.3,190.29,synthetic
923,1145.1,313.7,64.78,synthetic
924,1272.4,304.4,189.32,synthetic
925,1235.7,255.3,114.18,synthetic
926,633.8,91.4,300.5,synthetic
927,1330.7,305.7,316.47,synthetic
928,178.7,354.8,196.53,synthetic
929,1007.8,308.3,15.98,synthetic
930,498.4,179.5,186.44,synthetic
931,1597,141,244,mapped
932,1272.3,312.5,192.9,synthetic
933,1401.1,233.1,172.95,synthetic
934,200.5,531.0,144.93,synthetic
935,844.3,266.6,14.31,synthetic
936,1353.0,314.3,344.06,synthetic
937,1626.4,255.8,38.81,synthetic
938,1839.1,240.2,314.23,synthetic
939,223.7,348.3,237.77,synthetic
940,1051.1,413.9,209.64,synthetic
941,1775.4,254.5,139.06,synthetic
942,1654.0,441.6,135.8,synthetic
943,1360.1,323.1,226.81,synthetic
944,1668,433,343,mapped
945,1051.6,319.4,151.01,synthetic
946,1605,230,326,mapped
947,1177.1,317.2,39.64,synthetic
948,1293.1,205.1,339.99,synthetic
949,1314.4,243.3,13.35,synthetic
950,1720.1,302.9,276.26,synthetic
951,1691.2,256.5,112.18,synthetic
952,1147.3,242.6,176.14,synthetic
953,1067.7,261.4,93.51,synthetic
954,1229.3,294.1,225.1,synthetic
955,1372.0,186.2,163.98,synthetic
956,1614,252,254,mapped
957,1691,299,255,mapped
958,1613,244,253,mapped
959,1689,282,238,mapped
960,1645,221,239,mapped
961,1097.4,311.3,279.84,synthetic
962,1251.1,129.1,304.7,synthetic
963,241.5,414.7,202.51,synthetic
964,1265.4,222.1,111.94,synthetic
965,1591,230,292,mapped
966,1230.5,193.7,258.3,synthetic
967,1593,210,310,mapped
968,1563,267,310,mapped
969,991.4,296.6,348.27,synthetic
970,1093.0,391.8,331.29,synthetic
971,1699,295,289,mapped
972,1731,262,251,mapped
973,1731,261,251,mapped
974,1731,261,251,mapped
975,-1.9,373.7,357.62,synthetic
976,680.3,32.4,14.69,synthetic
977,979.6,377.1,58.52,synthetic
978,1565.2,260.8,293.42,synthetic
979,1772,230,336,mapped
980,1773,229,337,mapped
981,1773,229,336,mapped
982,1744,297,281,mapped
983,1765,293,261,mapped
984,1769,253,248,mapped
985,1770,251,247,mapped
986,741.0,290.5,301.82,synthetic
987,1219.3,301.1,135.94,synthetic
988,1004.3,284.4,333.2,synthetic
989,387.6,357.0,263.41,synthetic
990,1860,268,284,mapped
991,1863,270,273,mapped
992,893.4,241.0,183.17,synthetic
993,1876,228,273,mapped
994,1274.2,402.9,224.27,synthetic
995,1945,272,308,mapped
996,1998,268,283,mapped
997,1947,274,270,mapped
998,719.5,524.9,125.03,synthetic
999,1990,321,281,mapped
